ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
1552998_at,0.421,0.00000867,13.64347,DEFB125,defensin beta 125
243690_at,0.421,0.00002485,12.001561,TRIOBP,TRIO and F-actin binding protein
205067_at,0.421,0.00002623,11.920645,IL1B,interleukin 1 beta
224267_x_at,0.421,0.00003077,11.682477,ZAN,zonadhesin (gene/pseudogene)
1566844_at,0.424,0.00004126,11.251056,PER4,period circadian clock 3 pseudogene
239853_at,0.424,0.00005408,10.860718,KLC3,kinesin light chain 3
231593_at,0.424,0.00006,10.712461,,
226855_at,0.424,0.00006608,10.575711,PDP2,pyruvate dehyrogenase phosphatase catalytic subunit 2
212054_x_at,0.424,0.00006978,10.49891,TBC1D9B,TBC1 domain family member 9B
1559210_at,0.45,0.00008938,10.153541,,
1569788_at,0.45,0.00009325,10.09493,ST8SIA1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
204275_at,0.45,0.00009871,10.016495,CAPN15,calpain 15
205517_at,0.475,0.00011294,9.832001,GATA4,GATA binding protein 4
1558397_at,0.588,0.00015965,9.365191,PECAM1,platelet and endothelial cell adhesion molecule 1
207915_at,0.588,0.0001716,9.269147,,
241222_at,0.588,0.00018073,9.200422,,
241568_at,0.588,0.00018293,9.18446,LOC100506319,uncharacterized LOC100506319
222313_at,0.641,0.00022568,8.908682,,
207935_s_at,0.641,0.00023514,8.855192,KRT13,keratin 13
219488_at,0.641,0.00025357,8.757291,A4GALT,"alpha 1,4-galactosyltransferase"
207126_x_at,0.641,0.00025526,8.748681,UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10,UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10
1553689_s_at,0.641,0.00027973,8.630562,METTL6,methyltransferase like 6
1559333_at,0.641,0.00028407,8.610776,LOC101927416,uncharacterized LOC101927416
223660_at,0.641,0.00029462,8.563968,ADORA3,adenosine A3 receptor
221920_s_at,0.641,0.00031456,8.480184,SLC25A37,solute carrier family 25 member 37
241542_at,0.641,0.00034088,8.377868,,
228210_at,0.641,0.00034554,8.360649,NXPH3,neurexophilin 3
234790_at,0.641,0.00034594,8.359156,,
1561030_at,0.641,0.00034793,8.351873,TMC7,transmembrane channel like 7
1556328_at,0.641,0.0003518,8.337863,PCDH10,protocadherin 10
1555374_at,0.652,0.00037154,8.268796,TTL,tubulin tyrosine ligase
