Pronouns,Hometown,Birthday,Number of siblings,Outfit color,Favorite food,"Beach, mountains, or city (pick one!)"
he/him/his,"El Cenizo, TX","Feb. 12, 1999",7,Black?,Anything,Mountains (with a river)
He/him/el,Woodbridge,19-Apr,7,Orange,California Burrito,
he/him/his,"Magnolia,Tx",3/11/01,3,*Color blind* Idk,Comida Mexicana,Mountains B^) 
She/her/hers,"Murrieta, Ca",December 6th,2,pink,sushi,BEACH
She/her/hers,"Bloomfield, NJ",September 20th,2,Blue,Anything with shrimp,Beach
she/her,"Los Angeles, CA",August 17 1999,3,green,pasta,beach/city
she/her/hers,"Agua Prieta, Son, MX",August 7th,2,pink,Entomatadas,Mountains
she/her/hers,"Brea, CA",12/16/88,12,blue/gray/white,pho ( Beef Noodle),beach
she/her,"Bronx, NY",1-Apr-99,3,yellow,Popcorn chicken,City/beach
He/him/his,"Los Angeles, CA",12-Dec,1,Black or white,Pho ( Beef Noodle),City/beach
he/him/his,"Newark, NJ",8-May,4,White,Bandeja Paisa,Beach
she/her/hers,"Corona, CA (unfortunate name) ",13-Jan,2,Blue,Soup!,Mountains
She/Her/Hers ,"Saint Helena, CA",July 28th,0,Pink,Chicken Tenders ,Mountains
She/Her/Hers ,"Fremont, CA",December 30th,2,Brown, Mac n Cheese ,Beach
She/ Her/ Hers,"Union City, CA",May 17th,2,Brown,Mochi,BEACH!!!
he/him/his,"Newark, DE",February 15th 2000,2,Black,Fettucine,City
She/her,"Dublin,CA","January 14th, 2001",1,white,Tahchin,City
he/him/his,"Humble, TX","October 12th, 2000",1,Blue,Pizza,City
she/her/hers,"Morehead City, NC",23-Aug,2,white,Arepas,City
She/her/hers,"Reading, PA",1/26/00,1,Blue,Anything Italian,City by the beach
she/her,"Sacramento, CA?","Sept. 22, 2000",3,blue,shellfish,beach
she/her/hers,"Bowie, MD",31-Jan-01,0,blue,french fries,beach
she/her/hers,"Newark, CA",April 24th,2,pink,Coconut anything :),City
she/her,"Bolingbrook, IL",3/25/01,1,Blue,Thanksgiving food,Mouintains
she/her,"Los Angeles, CA",2/29/00,4,yellow,sushi,Mountains 
she/her/hers,"San Mateo, CA",December 16th,1,blue,pizza,city
she/her/ella,"Modesto,CA",17-Nov,1,green,all of the above,mountains 
