Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Location
5.1,3.5,1.4,0.2,setosa,Korea
4.9,3,1.4,0.2,setosa,China
4.7,3.2,1.3,0.2,setosa,Korea
4.6,3.1,1.5,0.2,setosa,China
5,3.6,1.4,0.2,setosa,China
5.4, ,1.7,0.4,setosa,Canada
4.6,3.4,1.4,0.3,setosa,China
5,3.4,1.5,0.2,,China
4.4,2.9,1.4,0.2,setosa,Russia
4.9,3.1,1.5,0.1,setosa,Japan
5.4,3.7,1.5,0.2,setosa,Russia
4.8,3.4,1.6,0.2,setosa,Canada
4.8,3,1.4,0.1,setosa,Korea
4.3,3,1.1,0.1,setosa,Russia
5.8,4,1.2,0.2,setosa,Canada
5.7,4.4,1.5,0.4,setosa,Canada
5.4,3.9,1.3,0.4,setosa,Korea
5.1,3.5,1.4,0.3,setosa,Korea
5.7,3.8,1.7,0.3,setosa,Japan
5.1,3.8,1.5,0.3,setosa,Korea
5.4,3.4,1.7,0.2,setosa,Russia
5.1,3.7,1.5,0.4,setosa,Korea
4.6,3.6,1,0.2,setosa,Japan
5.1,3.3,1.7,0.5,setosa,Japan
4.8,3.4,1.9,0.2,setosa,Russia
5,3,1.6,0.2,setosa,Russia
5,3.4,1.6,0.4,setosa,Japan
5.2,3.5,1.5,0.2,setosa,Russia
5.2,3.4,1.4,0.2,setosa,Japan
4.7,3.2,1.6,0.2,setosa,Canada
4.8,3.1, ,0.2,setosa,Canada
5.4,3.4,1.5,0.4,setosa,Canada
5.2,4.1,1.5,0.1,setosa,Russia
5.5,4.2,1.4,0.2,setosa,Russia
4.9,3.1,1.5,0.2,setosa,Russia
5,3.2,1.2,0.2,setosa,Russia
5.5,0.35,1.3,0.2,setosa,Korea
4.9,3.6,1.4,0.1,setosa,Japan
4.4,3,1.3,0.2,setosa,Korea
5.1,3.4,1.5,0.2,setosa,Japan
5,3.5,1.3,0.3,setosa,Japan
4.5,2.3,1.3,0.3,setosa,Japan
4.4,3.2,1.3,0.2,setosa,Japan
n/a,n/a,1.6,0.6,setosa,Korea
5.1,3.8,1.9,0.4,setosa,China
4.8,3,1.4,0.3,setosa,
5.1,3.8,1.6,0.2,setosa,Canada
4.6,3.2,1.4,0.2,setosa,Canada
5.3,3.7,1.5,0.2,setosa,Canada
5,3.3,1.4,0.2,setosa,Canada
7,3.2,4.7,1.4,versicolor,
6.4,3.2,4.5,1.5,versicolor,
6.9,3.1,4.9,1.5,versicolor,
5.5,2.3,4,1.3,versicolor,USA
6.5,2.8,4.6,1.5,versicolor,USA
5.7,2.8,4.5,1.3,versicolor,USA
6.3,3.3,4.7,1.6,versicolor,USA
4.9,2.4,3.3,1,versicolor,USA
6.6,2.9,4.6,1.3,versicolor,USA
5.2,2.7,3.9,1.4,versicolor,
5,2,3.5,1,versicolor,Canada
5.9,3,4.2,1.5,versicolor,Canada
6,2.2,4,1,versicolor,Canada
6.1,2.9,4.7,1.4,versicolor,Canada
5.6,2.9,3.6,1.3,versicolor,Canada
6.7,3.1,4.4,1.4,versicolor,Canada
5.6,3,4.5,1.5,versicolor,Canada
5.8,2.7,4.1,1,versicolor,Canada
6.2,2.2,4.5,1.5,versicolor,Canada
5.6,2.5,3.9,1.1,versicolor,Canada
5.9,3.2,4.8,1.8,versicolor,Canada
6.1,2.8,4,1.3,versicolor,Canada
6.3,2.5,4.9,1.5,versicolor,USA
6.1,2.8,4.7,1.2,versicolor,Canada
6.4,2.9,4.3,1.3,versicolor,Canada
6.6,3,4.4,1.4,versicolor,Canada
6.8,2.8,4.8,1.4,versicolor,Canada
6.7,3,5,1.7,versicolor,Canada
6,2.9,4.5,1.5,versicolor,
5.7,2.6,3.5,1,versicolor,USA
5.5,2.4,3.8,1.1,versicolor,Canada
5.5,2.4,3.7,1,versicolor,Canada
5.8,2.7,3.9,1.2,versicolor,Canada
6,2.7,5.1,,versicolor,USA
5.4,3,4.5,1.5,versicolor,USA
6,3.4,4.5,1.6,versicolor,USA
6.7,3.1,4.7,1.5,versicolor,USA
6.3,2.3,4.4,1.3,versicolor,USA
5.6,3,4.1,1.3,versicolor,USA
5.5,2.5,4,1.3,versicolor,Canada
5.5,2.6,4.4,1.2,versicolor,USA
6.1,3,4.6,1.4,versicolor,USA
5.8,2.6,4,1.2,versicolor,USA
5,2.3,3.3,1,versicolor,USA
5.6,2.7,4.2,1.3,versicolor,USA
5.7,3,4.2,1.2,versicolor,USA
5.7,,4.2,1.3,versicolor,Canada
6.2,2.9,4.3,1.3,versicolor,Canada
5.1,2.5,3,1.1,versicolor,Canada
5.7,2.8,4.1,1.3,versicolor,
6.3,3.3,6,2.5,virginica,USA
5.8,2.7,5.1,1.9,virginica,USA
7.1,3,5.9,2.1,virginica,USA
6.3,2.9,5.6,1.8,virginica,USA
6.5,3,5.8,2.2,virginica,USA
7.6,3,6.6,2.1,virginica,USA
4.9,2.5,4.5,1.7,virginica,
 ,2.9,6.3,1.8,virginica,USA
6.7,2.5,5.8,1.8,virginica,USA
7.2,3.6,6.1,2.5,virginica,USA
