"Virus","Family","Baltimore","Virion","Host","Function","ViralProtein","Receptor","Type","HostExpression","VirusTropism","EntryMode"
"Bacteriophage Mu","Myoviridae, 'Mulikevirus'","dsDNA","Non-env","Bacteria","Adhesion","Tail fiber protein S","Polysaccharide part ofLPS","Carbohydrate","NA","NA","'Viral genome ejection through host cell envelope'"
"Human JC polyomavirus","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Human","Adhesion","VP1","linear sialylated pentasaccharide","Carbohydrate","?","oligodendrocytes, astrocytes, B lymphocytes, and kidney epithelial cells","Clat. "
"Human JC polyomavirus","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Human","Entry","VP1","Serotonin Receptor","Receptor","Neurons in central nervous system","oligodendrocytes, astrocytes, B lymphocytes, and kidney epithelial cells","Clathrin-mediated endocytosis"
"BK virus","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Human","Adhesion","VP1","Sialic acids","Carbohydrate","?","Salivary gland cells? kidney epithelial cells?","Caveolin-mediated endocytosis"
"BK virus","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Human","Entry","VP1","Ganglioside GD1b","Glycosphingolipid","Neurons, Ubiquitous","Salivary gland cells? kidney epithelial cells?","Caveolin-mediated endocytosis"
"BK virus","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Human","Entry","VP1","Ganglioside GT1b","Glycosphingolipid","Neurons, Ubiquitous","Salivary gland cells? kidney epithelial cells?","Caveolin-mediated endocytosis"
"Mouse polyomavirus mPy","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Rodent","Attachement","VP1","Sialic acids","Carbohydrate","?","?","Caveolin-mediated endocytosis"
"Mouse polyomavirus mPy","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Rodent","Entry","VP1","Ganglioside GD1a","Glycosphingolipid","Neurons, Ubiquitous","?","Caveolin-mediated endocytosis"
"Mouse polyomavirus mPy","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Rodent","Entry","VP1","Ganglioside GT1b","Glycosphingolipid","Neurons, Ubiquitous","?","Caveolin-mediated endocytosis"
"Merkel cell polyomavirus","Polyomaviridae, Polyomavirus","dsDNA","Non-env","","Entry","VP1","Ganglioside GT1b","Glycosphingolipid","Neurons, Ubiquitous","Skin, respiratory and gastro intestinal epitheliums","Lipid-mediated endocytosis"
"Simian virus 40","Polyomaviridae, Polyomavirus","dsDNA","Non-env","Monkeys","Entry","VP1","Ganglioside GM1","Glycosphingolipid","Neurons, Ubiquitous","?","Caveolin-mediated endocytosis"
